Day,Cash On Hand
11,582398
12,321526
13,372992
14,139551
15,89639
16,586267
17,559675
18,706415
19,139762
20,146188
21,230433
22,470167
23,2245555
24,1852633
25,2586492
26,2894645
27,3919889
28,4503652
29,5250586
30,5426296
31,6913495
32,8048674
33,13321210
34,20367924
35,27258173
36,27257594
37,28682185
38,30327492
39,31590272
40,33079736
41,34405159
42,36794913
43,38469860
44,44926384
45,47998689
46,48537611
47,49060229
48,48632393
49,49835753
50,51159789
51,52408377
52,55889008
53,59971491
54,64772216
55,66359377
56,67752136
57,68372631
58,68950115
59,69600859
60,70647952
61,71733074
62,74276934
63,75456312
64,76602797
65,85446459
66,86602171
67,87629432
68,90074531
69,91000952
70,97725028
71,104858503
72,111466551
73,112921781
74,115429825
75,117211161
76,118708433
77,120391239
78,122351831
79,124112352
80,126223292
81,128430514
82,130525322
83,132659686
84,140951738
85,149717374
86,151551257
87,153178254
88,154889692
89,156383104
90,158242629
